template_version,baseline,metric,value,description
A,gmm_bic_best_label,adjusted_rand_index,0.11865013082462261,"Agreement between baseline cluster labels and narrative_best_label (1 = perfect match, 0 ≈ random)."
A,gmm_aic_best_label,adjusted_rand_index,0.16823215252430973,"Agreement between baseline cluster labels and narrative_best_label (1 = perfect match, 0 ≈ random)."
A,gmm_aicc_best_label,adjusted_rand_index,0.11865013082462261,"Agreement between baseline cluster labels and narrative_best_label (1 = perfect match, 0 ≈ random)."
A,narrative_best_label,silhouette_cosine,0.4452500343322754,"Cluster separation in narrative embedding space using cosine distance (higher is better, max = 1)."
A,narrative_best_label,calinski_harabasz,227.90460169502867,Calinski-Harabasz index in narrative embedding space (higher is better).
A,narrative_best_label,davies_bouldin,1.3598249459784595,Davies-Bouldin index in narrative embedding space (lower is better).
A,gmm_bic_best_label,silhouette_cosine,-0.005917991511523724,"Cluster separation in narrative embedding space using cosine distance (higher is better, max = 1)."
A,gmm_bic_best_label,calinski_harabasz,71.81248789429767,Calinski-Harabasz index in narrative embedding space (higher is better).
A,gmm_bic_best_label,davies_bouldin,3.261251370863264,Davies-Bouldin index in narrative embedding space (lower is better).
A,gmm_aic_best_label,silhouette_cosine,-0.17453336715698242,"Cluster separation in narrative embedding space using cosine distance (higher is better, max = 1)."
A,gmm_aic_best_label,calinski_harabasz,35.096613566079085,Calinski-Harabasz index in narrative embedding space (higher is better).
A,gmm_aic_best_label,davies_bouldin,4.110124387863987,Davies-Bouldin index in narrative embedding space (lower is better).
A,gmm_aicc_best_label,silhouette_cosine,-0.005917991511523724,"Cluster separation in narrative embedding space using cosine distance (higher is better, max = 1)."
A,gmm_aicc_best_label,calinski_harabasz,71.81248789429767,Calinski-Harabasz index in narrative embedding space (higher is better).
A,gmm_aicc_best_label,davies_bouldin,3.261251370863264,Davies-Bouldin index in narrative embedding space (lower is better).
